,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU,10 YR
2008-01-02,32.13,28.34,79.75,28.41,34.94,38.37,41.33,26.1,41.98,3.91
2008-01-03,31.78,28.22,80.21,28.2,35.18,38.58,41.8,26.08,42.08,3.91
2008-01-04,30.78,28.04,78.01,27.39,34.83,37.6,40.74,25.07,42.3,3.88
2008-01-07,30.93,28.55,77.04,27.55,35.57,37.34,40.25,24.97,43.25,3.86
2008-01-08,30.32,28.38,76.08,26.54,35.81,36.39,39.6,24.21,43.33,3.86
2008-01-09,30.56,28.63,77.14,26.96,36.41,36.7,39.97,24.63,43.83,3.82
2008-01-10,31.01,28.83,76.75,27.65,36.45,37.14,40.52,24.76,43.58,3.91
2008-01-11,30.24,28.24,75.61,27.61,36.5,36.37,40.08,24.23,43.37,3.82
2008-01-14,30.53,28.17,77.01,27.84,36.26,36.89,41.41,24.8,43.48,3.81
2008-01-15,29.87,27.77,74.1,26.78,35.72,36.03,40.16,24.19,42.91,3.72
2008-01-16,30.23,27.82,71.81,27.16,35.92,35.83,38.9,23.77,42.22,3.74
2008-01-17,29.66,27.44,68.87,25.91,35.22,34.62,36.79,23.42,40.63,3.66
2008-01-18,29.7,27.19,69.17,25.44,34.7,34.83,37.45,23.24,39.98,3.66
2008-01-22,30.07,26.93,67.5,26.01,33.61,34.92,37.02,22.62,38.72,3.52
2008-01-23,31.21,27.16,67.46,27.72,33.39,35.71,37.55,22.6,39.74,3.51
2008-01-24,31.43,27.03,69.67,27.86,33.4,36.01,38.55,23.13,38.85,3.68
2008-01-25,30.86,26.7,68.98,27.27,32.92,35.91,38.45,22.81,38.21,3.61
2008-01-28,31.39,26.95,70.28,28.11,33.35,36.36,39.2,22.99,38.67,3.61
2008-01-29,31.5,27.0,70.7,28.54,33.45,36.64,39.46,23.15,38.88,3.69
2008-01-30,31.28,26.79,70.24,28.12,33.18,36.74,39.44,23.09,38.81,3.78
2008-01-31,32.34,27.18,70.03,28.89,33.48,37.2,39.94,23.3,39.62,3.67
2008-02-01,32.83,27.47,71.19,29.55,33.86,37.84,40.94,23.58,40.25,3.62
2008-02-04,32.19,27.33,71.36,28.79,33.99,29.26,40.24,23.25,40.86,3.68
2008-02-05,31.35,26.83,68.64,27.48,33.32,28.51,38.9,22.55,39.49,3.61
2008-02-06,31.1,26.78,67.51,27.22,33.38,28.47,38.68,22.25,39.45,3.61
2008-02-07,31.64,27.08,68.61,27.65,33.4,28.48,38.9,22.23,39.23,3.74
2008-02-08,31.4,26.88,69.5,27.03,33.01,28.26,39.65,22.4,39.01,3.64
2008-02-11,31.82,27.14,71.44,26.54,33.04,28.55,40.2,22.65,39.38,3.62
2008-02-12,31.98,27.43,71.3,26.91,33.45,28.84,40.35,22.74,39.82,3.66
2008-02-13,32.34,27.52,73.04,27.08,33.61,29.35,40.79,23.3,39.83,3.7
2008-02-14,31.91,27.23,72.98,26.6,33.18,28.91,40.51,22.81,39.49,3.85
2008-02-15,32.09,27.35,72.86,26.75,33.34,28.73,40.44,22.72,39.63,3.76
2008-02-19,31.86,27.37,74.67,26.55,33.54,28.87,41.17,22.33,39.52,3.89
2008-02-20,32.2,27.41,76.01,26.99,33.5,28.97,41.67,22.53,39.5,3.93
2008-02-21,31.6,27.32,74.23,26.63,33.12,28.74,41.0,22.35,38.87,3.77
2008-02-22,32.06,27.52,74.83,27.08,33.14,29.03,41.35,22.48,39.31,3.79
2008-02-25,32.5,27.66,76.89,27.28,33.68,29.26,42.31,22.63,39.47,3.91
2008-02-26,32.98,27.89,78.08,27.4,33.79,29.28,42.34,22.82,39.84,3.88
2008-02-27,32.88,27.82,77.29,27.62,33.48,29.34,42.5,22.88,39.14,3.85
2008-02-28,32.06,27.66,78.66,26.81,33.26,29.12,42.3,22.84,38.85,3.71
2008-02-29,31.16,27.18,76.14,25.75,32.78,28.33,40.93,22.22,37.75,3.53
2008-03-03,31.19,27.33,76.84,25.44,32.79,28.74,41.45,22.14,38.18,3.54
2008-03-04,31.25,27.36,75.7,25.22,32.79,28.41,40.62,22.18,38.75,3.63
2008-03-05,31.23,27.48,77.29,25.09,32.78,28.78,41.62,22.38,38.78,3.7
2008-03-06,30.43,27.17,75.44,24.17,32.11,28.23,41.12,21.96,37.94,3.62
2008-03-07,30.18,27.06,73.93,24.25,31.75,27.83,39.55,21.99,37.78,3.56
2008-03-10,29.72,26.96,72.97,23.56,31.39,27.38,38.21,21.74,37.57,3.46
2008-03-11,30.62,27.44,76.15,25.31,31.3,28.31,40.61,22.48,38.7,3.6
2008-03-12,30.45,27.42,75.0,24.75,31.2,28.26,40.41,22.29,38.22,3.49
2008-03-13,30.48,27.43,76.11,24.8,31.29,28.65,41.33,22.32,38.28,3.56
2008-03-14,30.06,26.96,74.88,23.86,30.75,28.19,40.86,21.92,38.01,3.44
2008-03-17,29.56,26.86,72.57,23.48,30.65,28.05,39.95,21.88,37.88,3.34
2008-03-18,30.75,27.46,75.1,25.39,31.3,29.53,41.24,22.71,38.6,3.48
2008-03-19,30.49,27.36,71.0,24.96,31.24,28.45,38.84,22.12,37.78,3.38
2008-03-20,31.36,27.59,71.0,26.5,31.36,28.78,38.43,22.48,37.72,3.34
2008-03-24,32.28,27.9,72.12,26.63,31.53,29.43,39.68,23.12,37.46,3.56
2008-03-25,32.17,28.0,72.79,26.6,31.56,29.62,40.73,23.2,37.52,3.51
2008-03-26,31.57,27.91,74.47,25.66,31.4,29.38,40.86,22.92,37.72,3.51
2008-03-27,31.13,27.88,73.87,25.15,31.38,29.06,40.36,22.46,38.04,3.56
2008-03-28,30.44,27.84,73.55,24.62,31.18,28.95,40.24,22.41,37.65,3.47
2008-03-31,30.88,27.91,74.05,24.82,30.97,29.39,40.28,22.56,38.06,3.45
2008-04-01,32.12,28.3,75.39,26.68,31.72,30.06,41.27,23.33,38.99,3.57
2008-04-02,32.27,28.2,76.41,26.55,31.45,30.19,41.67,23.25,39.32,3.6
2008-04-03,32.05,28.14,76.51,26.64,31.47,30.06,42.37,23.27,39.13,3.61
2008-04-04,32.05,28.24,77.42,26.32,31.81,30.17,43.0,23.28,39.28,3.5
2008-04-07,31.94,28.19,77.67,26.53,31.91,29.98,42.7,23.24,39.35,3.57
2008-04-08,31.77,28.12,78.28,26.13,31.81,29.96,42.91,23.08,39.52,3.58
2008-04-09,31.12,27.89,78.75,25.65,31.66,29.67,42.57,22.93,39.52,3.49
2008-04-10,31.48,27.97,78.74,25.57,31.94,29.8,42.71,23.22,39.31,3.55
2008-04-11,30.83,27.79,77.58,25.11,31.5,28.63,42.14,22.6,39.29,3.49
2008-04-14,30.68,27.78,79.16,24.51,31.43,28.64,41.91,22.5,39.31,3.53
2008-04-15,30.64,27.94,79.87,24.73,31.36,28.77,42.11,22.52,39.63,3.6
2008-04-16,31.23,28.06,82.02,25.52,31.53,29.58,44.06,23.13,40.53,3.72
2008-04-17,31.42,27.97,82.08,25.9,31.29,29.23,43.87,23.17,40.55,3.75
2008-04-18,32.07,28.03,83.92,26.41,31.67,30.11,44.47,23.83,40.6,3.77
2008-04-21,32.02,28.12,84.45,25.96,31.48,30.01,44.44,23.99,40.34,3.75
2008-04-22,31.54,27.87,84.61,25.73,31.1,29.53,43.89,23.75,40.13,3.74
2008-04-23,31.62,28.11,83.87,25.52,31.45,29.54,43.33,24.08,40.46,3.77
2008-04-24,32.03,28.08,81.97,26.44,31.52,29.73,42.73,24.35,40.2,3.87
2008-04-25,32.36,27.96,83.05,26.96,31.85,30.15,43.98,24.15,40.34,3.91
2008-04-28,32.37,28.04,82.74,26.89,31.9,30.32,43.45,24.06,40.2,3.86
2008-04-29,32.58,28.16,81.29,26.77,31.63,30.04,42.19,24.21,40.03,3.85
2008-04-30,32.18,27.97,81.93,26.47,31.49,30.25,42.4,24.04,40.05,3.77
2008-05-01,33.24,28.17,80.28,27.51,32.03,30.45,42.1,24.83,40.48,3.78
2008-05-02,33.17,28.11,81.4,27.63,32.06,30.57,42.63,24.79,40.86,3.89
2008-05-05,32.75,28.13,82.42,27.23,31.96,30.49,43.29,24.68,40.41,3.88
2008-05-06,32.93,28.17,84.47,27.47,31.92,30.61,43.78,24.89,40.43,3.93
2008-05-07,32.49,27.92,83.35,26.46,31.49,30.13,43.18,24.49,39.82,3.87
2008-05-08,32.39,28.0,85.04,26.16,31.6,30.24,44.12,24.65,39.97,3.79
2008-05-09,32.21,27.8,84.61,25.92,31.45,30.05,43.54,24.5,40.08,3.77
2008-05-12,32.86,28.08,84.36,26.32,31.64,30.53,44.34,24.84,40.5,3.78
2008-05-13,32.98,28.05,85.42,25.99,31.49,30.73,44.54,24.85,40.35,3.9
2008-05-14,33.29,28.24,84.39,26.22,31.6,30.76,44.74,24.96,40.7,3.92
2008-05-15,33.72,28.43,86.0,26.53,31.58,30.94,45.42,25.43,40.59,3.83
2008-05-16,33.36,28.49,88.5,26.19,31.61,30.86,45.99,25.45,40.86,3.85
2008-05-19,33.31,28.41,89.27,26.05,31.76,31.21,45.86,25.37,41.32,3.83
2008-05-20,32.84,28.22,90.08,25.49,31.75,30.72,45.92,24.96,41.49,3.78
2008-05-21,32.18,27.93,88.87,24.82,31.58,30.2,44.53,24.53,41.39,3.81
2008-05-22,32.14,28.22,87.96,25.05,31.78,30.13,44.34,24.6,41.62,3.92
2008-05-23,31.68,28.11,86.36,24.59,31.4,29.69,43.77,24.46,40.86,3.85
2008-05-27,32.02,28.24,85.79,24.79,31.6,30.01,43.6,24.86,41.15,3.93
2008-05-28,32.21,28.13,87.29,24.64,31.56,30.21,44.77,25.0,41.15,4.03
2008-05-29,32.49,28.42,85.34,25.03,32.04,30.33,44.18,25.16,41.41,4.08
2008-05-30,32.35,28.44,85.9,24.82,32.08,30.52,44.41,25.28,41.36,4.06
2008-06-02,32.0,28.24,86.48,24.43,31.73,30.26,44.2,24.98,40.95,3.98
2008-06-03,31.96,28.18,84.85,24.25,31.88,30.16,44.14,24.84,40.7,3.92
2008-06-04,32.15,28.33,83.64,24.13,31.97,30.04,43.95,24.97,41.14,3.98
2008-06-05,32.54,28.62,87.34,24.59,32.2,30.26,45.4,25.43,41.67,4.06
2008-06-06,31.29,27.94,86.15,23.35,31.38,29.08,44.37,24.75,40.63,3.94
2008-06-09,31.24,28.02,88.48,22.93,31.25,29.38,44.84,24.67,41.24,4.02
2008-06-10,31.39,28.16,86.35,23.09,31.04,29.21,44.3,24.56,41.3,4.11
2008-06-11,30.71,27.92,87.14,22.39,30.64,28.66,43.5,23.94,40.97,4.1
2008-06-12,30.94,28.06,85.63,22.84,30.77,28.76,43.44,24.09,40.92,4.23
2008-06-13,31.68,28.11,86.37,23.31,31.12,29.09,44.59,24.54,41.48,4.27
2008-06-16,31.68,27.8,86.83,23.53,30.97,28.93,44.6,24.54,41.46,4.25
2008-06-17,31.25,27.67,88.38,22.83,30.84,28.87,44.65,24.37,41.52,4.23
2008-06-18,30.63,27.42,88.6,22.57,30.59,28.45,44.44,24.08,41.37,4.16
2008-06-19,31.0,27.5,86.64,22.74,30.73,28.82,44.49,24.33,41.71,4.22
2008-06-20,29.91,27.03,85.72,21.99,30.18,28.37,43.44,23.68,40.79,4.16
2008-06-23,29.45,26.97,89.07,21.4,30.26,28.43,43.89,23.53,41.07,4.19
2008-06-24,29.42,27.09,87.59,21.72,30.37,28.09,42.85,23.49,40.97,4.1
2008-06-25,30.11,27.35,87.01,21.78,30.63,27.88,42.93,23.81,41.24,4.12
2008-06-26,28.83,26.78,86.18,20.87,30.01,27.42,41.61,23.03,40.08,4.07
2008-06-27,28.55,26.5,87.01,20.56,30.17,26.63,41.77,22.91,39.82,3.99
2008-06-30,28.33,26.53,88.29,20.11,30.46,26.88,41.65,22.81,40.74,3.99
2008-07-01,28.32,26.71,88.98,20.36,30.64,26.86,41.25,22.83,41.03,4.01
2008-07-02,27.79,26.62,86.0,20.04,30.5,26.04,39.2,22.44,40.74,3.99
2008-07-03,27.91,26.78,85.14,19.99,30.54,26.4,39.43,22.44,40.46,3.99
2008-07-07,27.77,26.82,83.05,19.35,30.37,26.37,39.36,22.55,40.09,3.95
2008-07-08,28.38,27.22,81.72,20.46,31.25,26.98,39.22,22.84,40.26,3.91
2008-07-09,27.64,27.08,79.85,19.4,31.19,26.23,38.81,22.11,40.69,3.85
2008-07-10,27.12,27.12,82.19,19.26,31.29,26.63,39.77,22.43,40.86,3.83
2008-07-11,26.8,27.03,81.8,18.74,30.97,26.15,39.7,22.23,40.49,3.96
2008-07-14,26.68,27.02,82.34,17.8,30.86,26.27,39.71,22.03,39.97,3.9
2008-07-15,26.73,27.03,78.75,17.24,31.26,25.75,39.22,22.04,39.79,3.87
2008-07-16,27.92,27.25,77.07,19.34,31.49,26.34,39.63,22.47,39.0,3.97
2008-07-17,28.57,27.19,75.9,20.47,31.72,27.07,39.75,22.67,38.45,4.07
2008-07-18,28.55,26.97,76.64,20.88,31.99,27.11,39.58,22.49,38.75,4.11
2008-07-21,28.19,26.8,78.99,20.69,31.19,27.13,40.39,22.26,39.18,4.09
2008-07-22,28.74,27.31,76.99,22.05,31.46,27.46,40.4,22.22,39.14,4.14
2008-07-23,29.36,27.43,73.82,22.45,31.81,27.68,39.76,22.61,38.23,4.16
2008-07-24,28.55,27.13,73.44,21.05,31.82,26.99,38.89,22.13,38.01,4.03
2008-07-25,28.39,27.11,74.18,20.85,31.98,27.24,39.19,22.39,37.74,4.13
2008-07-28,27.75,26.88,73.99,19.92,31.64,26.62,38.93,21.94,37.65,4.06
2008-07-29,28.64,27.47,73.16,21.36,31.9,27.62,39.8,22.3,37.79,4.09
2008-07-30,28.76,27.77,77.47,21.79,31.86,27.95,40.94,22.44,38.4,4.07
2008-07-31,28.42,27.4,74.86,21.57,32.0,27.09,40.28,22.31,38.23,3.99
2008-08-01,28.36,27.35,74.6,21.7,31.68,27.07,39.37,22.17,36.97,3.97
2008-08-04,28.45,27.66,70.91,21.44,32.07,26.95,37.84,22.05,36.51,3.98
2008-08-05,29.71,28.25,71.33,22.43,32.87,27.7,38.34,22.65,37.04,4.04
2008-08-06,29.61,28.4,73.08,22.29,32.94,28.23,38.94,22.9,36.94,4.06
2008-08-07,29.01,27.88,71.89,21.26,32.58,27.28,38.37,22.84,36.93,3.92
2008-08-08,30.43,28.45,71.28,21.87,33.33,28.22,38.76,23.35,37.37,3.94
2008-08-11,31.29,28.61,70.98,22.34,33.36,28.29,38.67,23.57,37.72,3.99
2008-08-12,30.8,28.75,70.74,21.23,33.31,28.02,38.86,23.54,37.02,3.91
2008-08-13,30.33,28.58,73.25,20.59,33.15,27.91,39.75,23.46,37.31,3.94
2008-08-14,30.92,28.66,72.35,21.08,33.3,28.02,39.42,23.61,36.83,3.89
2008-08-15,31.2,28.96,70.97,21.31,33.62,28.17,39.31,23.7,37.04,3.84
2008-08-18,30.68,28.7,70.18,20.59,33.3,27.86,38.95,23.41,37.1,3.82
2008-08-19,30.02,28.45,72.24,19.98,33.07,27.51,38.81,23.06,37.16,3.83
2008-08-20,29.87,28.39,74.45,20.3,32.87,27.29,39.54,23.13,37.37,3.79
2008-08-21,29.99,28.31,76.2,20.04,32.96,27.35,39.83,23.07,37.75,3.84
2008-08-22,30.66,28.61,74.8,20.65,33.27,27.89,39.7,23.42,37.83,3.87
2008-08-25,29.93,28.19,73.82,20.07,32.78,27.46,38.87,22.99,37.46,3.79
2008-08-26,29.97,28.13,75.06,20.16,32.77,27.45,39.06,22.92,37.82,3.79
2008-08-27,30.14,28.24,76.14,20.51,32.73,27.53,39.5,23.12,38.13,3.77
2008-08-28,30.83,28.43,75.32,21.36,33.01,28.14,40.1,23.37,38.4,3.79
2008-08-29,30.52,28.1,74.51,21.33,32.67,27.83,39.59,22.85,37.7,3.83
2008-09-02,31.07,28.41,70.75,21.74,32.64,27.84,38.68,22.64,37.16,3.74
2008-09-03,31.26,28.38,70.31,22.07,32.7,27.64,38.49,22.32,36.62,3.71
2008-09-04,30.22,28.06,68.76,21.01,31.87,26.69,37.04,21.58,36.18,3.64
2008-09-05,30.28,28.32,68.64,21.67,31.74,26.68,37.42,21.53,35.51,3.66
2008-09-08,31.56,28.94,67.98,22.68,32.37,27.11,37.39,21.74,36.35,3.66
2008-09-09,30.75,28.73,63.45,21.21,31.84,26.31,35.77,21.35,35.28,3.62
2008-09-10,30.75,28.83,65.62,21.03,31.87,26.42,36.36,21.32,35.49,3.65
2008-09-11,31.24,29.2,66.8,21.43,32.35,27.03,37.11,21.56,35.92,3.64
2008-09-12,31.1,29.15,68.76,21.2,32.28,26.96,38.24,21.61,36.42,3.74
2008-09-15,30.2,28.75,64.05,19.22,31.67,25.87,36.28,20.82,35.31,3.47
2008-09-16,30.34,28.71,66.08,20.19,31.6,25.95,37.21,20.79,34.87,3.48
2008-09-17,28.88,27.77,64.5,18.54,30.6,25.08,35.97,19.81,33.0,3.41
2008-09-18,30.04,28.34,66.09,19.81,31.18,25.59,36.66,20.53,34.03,3.54
2008-09-19,30.5,28.1,71.08,22.0,31.27,26.34,38.65,21.13,34.78,3.78
2008-09-22,28.96,27.47,70.15,20.65,30.54,25.64,37.35,20.35,34.11,3.83
2008-09-23,28.56,27.18,67.88,20.43,30.36,25.08,36.31,20.16,33.76,3.85
2008-09-24,28.38,27.36,68.04,20.16,30.56,25.02,36.04,20.35,33.82,3.8
2008-09-25,28.95,27.82,69.45,20.64,31.01,25.22,35.91,20.75,34.7,3.88
2008-09-26,29.25,27.96,68.1,21.28,31.22,25.12,35.11,20.82,34.41,3.85
2008-09-29,27.26,27.24,61.65,19.02,29.93,24.27,32.32,19.1,32.85,3.61
2008-09-30,28.02,27.46,63.79,19.95,30.45,24.5,33.0,19.8,33.12,3.85
2008-10-01,27.83,27.8,62.37,20.6,30.47,23.92,32.6,19.51,33.25,3.77
2008-10-02,26.71,27.45,57.99,19.76,30.03,22.49,30.17,18.74,32.37,3.66
2008-10-03,25.95,27.23,57.73,18.93,29.8,22.13,29.92,18.57,32.13,3.63
2008-10-06,25.0,26.4,55.54,18.49,28.36,21.55,28.84,17.88,30.45,3.48
2008-10-07,23.6,25.85,51.81,16.3,27.47,20.84,27.1,16.81,29.3,3.5
2008-10-08,23.28,24.99,52.11,15.54,27.02,20.52,27.85,16.5,28.76,3.72
2008-10-09,21.67,23.88,46.79,13.84,25.45,19.349,26.38,16.08,27.18,3.84
2008-10-10,21.75,23.21,42.81,14.79,24.6,18.728,26.07,15.9,25.82,3.89
2008-10-14,22.72,24.43,50.75,17.16,27.34,20.72,28.07,17.19,28.79,4.08
2008-10-15,20.59,22.84,42.12,15.6,25.46,18.776,24.84,15.91,26.47,4.04
2008-10-16,21.34,23.9,45.89,15.88,26.36,19.158,25.61,16.56,27.35,3.99
2008-10-17,21.96,23.9,45.93,15.54,26.4,18.744,25.52,16.55,27.74,3.98
2008-10-20,22.36,24.58,51.12,15.94,27.45,19.675,27.5,17.15,29.96,3.91
2008-10-21,21.51,24.28,49.06,15.68,27.06,19.5,26.07,16.24,28.83,3.76
2008-10-22,20.4,23.38,43.81,14.73,25.93,18.601,24.08,15.54,27.19,3.65
2008-10-23,20.28,23.58,46.28,14.55,26.18,18.648,23.81,15.55,28.43,3.63
2008-10-24,19.41,22.69,44.4,13.85,25.47,17.574,22.86,15.06,27.47,3.76
2008-10-27,18.95,22.18,41.46,13.35,24.62,16.898,21.82,14.79,26.56,3.79
2008-10-28,21.37,24.2,46.42,15.02,26.46,18.633,24.38,16.54,29.4,3.89
2008-10-29,21.32,23.56,47.7,14.58,25.69,18.712,24.89,16.17,28.39,3.93
2008-10-30,22.08,24.31,50.44,14.77,26.48,19.388,25.67,16.58,29.8,4.0
2008-10-31,22.66,24.58,50.95,15.53,26.89,20.033,26.0,16.64,29.27,4.01
2008-11-03,22.32,24.51,49.72,15.62,27.03,19.691,25.75,16.65,29.34,3.96
2008-11-04,23.2,25.16,53.22,16.46,27.39,20.55,27.19,17.29,29.97,3.81
2008-11-05,21.92,24.41,50.57,15.07,26.54,19.691,25.52,16.31,28.84,3.73
2008-11-06,20.72,23.78,47.55,14.08,25.78,18.768,24.16,15.28,27.75,3.75
2008-11-07,21.12,24.25,49.78,14.4,26.43,18.959,24.95,15.84,29.06,3.83
2008-11-10,20.57,24.24,50.07,13.78,26.32,18.967,24.79,15.67,28.31,3.82
2008-11-12,18.71,23.11,44.65,12.52,25.04,17.662,22.41,14.61,27.67,3.75
2008-11-13,20.13,24.18,49.97,13.41,26.55,18.609,24.22,15.52,29.57,3.84
2008-11-14,19.15,23.41,47.7,12.7,25.65,17.821,22.76,14.79,28.8,3.72
2008-11-17,18.56,23.11,46.75,11.94,25.03,17.463,22.15,14.39,28.65,3.68
2008-11-18,18.54,23.46,48.23,11.84,25.25,17.479,22.15,14.55,28.58,3.53
2008-11-19,17.35,22.73,45.6,10.52,24.14,16.349,20.57,13.77,27.83,3.38
2008-11-20,16.39,21.88,39.9,9.48,22.65,15.912,19.02,13.19,26.42,3.1
2008-11-21,17.45,22.89,44.72,9.7,23.58,16.381,20.16,13.89,28.72,3.2
2008-11-24,18.79,23.43,47.5,11.24,24.06,17.201,21.41,14.65,29.13,3.35
2008-11-25,19.26,23.39,48.39,11.78,24.45,17.447,22.18,14.61,29.42,3.11
2008-11-26,20.28,23.71,51.14,12.37,24.63,17.996,23.12,15.23,29.51,2.99
2008-11-28,20.49,23.98,50.33,12.69,24.98,18.386,23.19,15.23,30.1,2.93
2008-12-01,18.75,22.74,44.93,10.6,23.5,16.874,21.13,14.17,28.2,2.72
2008-12-02,19.56,23.07,46.48,11.41,24.26,17.654,22.01,14.66,28.8,2.68
2008-12-03,20.38,23.35,46.52,12.02,24.89,17.956,21.98,15.07,29.39,2.67
2008-12-04,20.46,23.05,43.22,11.86,24.37,17.598,21.56,14.53,28.15,2.55
2008-12-05,21.16,23.79,44.21,12.82,25.19,18.028,22.02,15.0,28.62,2.67
2008-12-08,21.89,23.84,46.43,13.64,25.4,18.497,23.6,15.7,28.98,2.77
2008-12-09,21.31,23.22,46.56,13.09,24.87,18.171,23.48,15.65,28.5,2.67
2008-12-10,21.8,23.31,49.0,12.99,25.02,18.465,24.02,15.55,28.95,2.69
2008-12-11,20.96,23.11,48.75,11.94,25.05,17.67,22.97,15.15,28.74,2.64
2008-12-12,20.96,23.14,48.21,12.14,25.17,17.718,23.16,15.42,28.83,2.6
2008-12-15,20.76,23.15,48.1,11.67,25.1,17.71,23.04,15.17,28.45,2.53
2008-12-16,21.93,23.66,49.74,12.9,26.13,18.585,24.43,15.86,29.41,2.37
2008-12-17,22.01,23.49,49.19,12.79,25.9,18.593,24.47,15.66,28.53,2.2
2008-12-18,21.61,23.62,46.18,12.4,26.04,17.94,23.45,15.31,28.78,2.08
2008-12-19,21.35,23.32,46.05,12.25,26.04,18.175,22.79,15.32,28.43,2.13
2008-12-22,20.72,23.29,44.74,11.79,25.9,17.894,21.99,15.1,28.3,2.16
2008-12-23,20.44,23.08,44.57,11.58,25.83,17.837,21.83,14.94,27.8776,2.18
2008-12-24,20.56,23.28,44.57,11.78,25.81,17.95,21.88,14.97,28.02,2.2
2008-12-26,20.75,23.32,45.3,11.78,25.85,18.087,22.23,15.01,28.18,2.16
2008-12-29,20.49,23.28,46.27,11.66,25.73,17.749,21.79,14.9305,28.16,2.13
2008-12-30,21.17,23.64,47.27,12.14,26.34,18.409,22.4,15.24,28.58,2.11
2008-12-31,21.53,23.84,47.8,12.53,26.57,18.851,22.74,15.41,29.1,2.25
2009-01-02,22.5,24.21,50.17,12.67,27.09,19.544,23.5976,15.99,29.71,2.46
2009-01-05,22.53,24.27,51.28,12.46,26.92,19.391,23.6,15.94,30.0,2.49
2009-01-06,22.89,23.95,51.851,12.65,26.51,19.817,24.08,16.28,29.7,2.51
2009-01-07,22.12,23.71,49.66,12.03,26.28,18.932,23.71,15.79,29.3,2.52
2009-01-08,22.18,23.38,50.35,11.99,26.41,19.117,23.88,15.9,29.35,2.47
2009-01-09,21.54,23.06,48.61,11.58,26.17,18.698,23.34,15.55,29.08,2.43
2009-01-12,20.99,23.0,46.83,10.94,25.85,18.288,22.5,15.29,29.14,2.34
2009-01-13,20.69,23.15,47.88,11.07,26.03,17.974,22.53,15.23,28.54,2.33
2009-01-14,20.0,22.64,45.68,10.46,25.68,17.306,21.68,14.77,28.19,2.24
2009-01-15,20.39,22.73,46.17,9.97,25.84,17.467,22.31,14.85,28.36,2.23
2009-01-16,20.63,22.97,46.46,9.68,26.09,17.564,22.56,14.94,28.9,2.36
2009-01-20,19.39,22.67,44.08,8.1,25.45,16.751,21.29,14.32,28.46,2.4
2009-01-21,20.0,22.79,47.01,9.25,25.97,17.177,22.05,15.01,28.73,2.56
2009-01-22,19.74,22.76,45.81,8.709,26.08,17.121,21.6925,14.71,28.72,2.62
2009-01-23,19.67,22.55,47.05,9.0,26.07,16.606,22.08,14.94,28.78,2.65
2009-01-26,19.82,22.72,47.96,8.84,26.0,16.799,21.79,15.13,29.46,2.7
2009-01-27,19.81,22.82,48.0,9.15,26.53,17.105,21.902,15.18,29.6,2.59
2009-01-28,20.61,23.04,49.38,10.32,26.85,17.596,22.52,15.63,29.78,2.71
2009-01-29,19.81,22.83,47.54,9.49,26.53,16.952,21.92,15.12,29.61,2.87
2009-01-30,19.28,22.11,46.89,9.28,26.2,16.59,21.06,14.74,28.93,2.87
2009-02-02,19.11,21.96,46.15,9.25,26.45,16.211,20.77,14.96,29.07,2.76
2009-02-03,19.66,22.43,46.97,9.03,27.08,16.509,21.15,15.22,29.3,2.89
2009-02-04,19.21,21.83,47.29,8.95,26.91,16.421,21.5,15.21,29.53,2.95
2009-02-05,19.55,22.14,48.55,9.1,27.12,16.614,22.04,15.49,29.69,2.95
2009-02-06,20.13,22.52,49.48,9.8,27.38,17.016,22.65,16.02,29.95,3.05
2009-02-09,20.1,22.29,49.7,9.93,27.33,17.338,22.58,16.04,29.724,3.07
2009-02-10,19.16,21.59,47.34,8.88,26.46,16.429,21.62,15.36,28.9,2.9
2009-02-11,19.24,21.7,46.78,9.31,26.75,16.557,21.65,15.42,28.73,2.78
2009-02-12,19.27,21.9,46.87,9.2,26.99,16.372,21.92,15.48,28.45,2.75
2009-02-13,18.99,21.6,46.96,8.83,26.74,16.372,21.58,15.43,28.36,2.89
2009-02-17,18.27,21.248,43.72,7.99,26.25,15.543,20.62,14.79,27.07,2.64
2009-02-18,18.09,21.36,43.47,7.93,26.2,15.567,20.55,14.78,26.73,2.74
2009-02-19,18.0,21.61,43.54,7.54,26.16,15.221,20.37,14.42,26.85,2.85
2009-02-20,17.86,21.3,42.37,7.45,25.91,14.988,20.45,14.49,26.23,2.78
2009-02-23,17.43,20.771,40.41,7.2,25.28,14.408,19.25,13.92,25.6,2.78
2009-02-24,18.18,21.14,42.31,8.02,25.7,14.722,19.87,14.31,26.38,2.8
2009-02-25,18.03,20.9733,42.07,8.0,25.24,14.368,19.57,14.36,26.16,2.95
2009-02-26,17.65,20.4872,42.15,8.14,23.96,14.118,19.55,14.23,25.72,2.98
2009-02-27,17.58,20.45,41.14,7.61,22.9599,13.764,19.33,14.21,25.35,3.02
2009-03-02,16.93,19.95,38.12,7.08,22.02,12.863,18.08,13.77,24.49,2.91
2009-03-03,16.71,19.76,38.32,6.98,21.96,12.766,18.11,13.7,23.6,2.93
2009-03-04,17.13,20.09,40.15,6.91,22.57,13.12,18.8,14.02,23.92,3.01
2009-03-05,16.38,19.63,38.37,6.23,21.86,12.613,18.13,13.63,23.16,2.83
2009-03-06,16.33,19.79,38.73,6.11,22.13,12.476,18.28,13.57,23.19,2.83
2009-03-09,16.05,19.35,38.86,6.35,21.86,12.364,18.21,13.14,22.66,2.89
